"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao People's Democratic Republic,418,Country/Area,1682.92,1723.22,1764.04,1805.54,1847.79,1890.85,1934.82,1979.73,2025.67,2072.71,2120.89,2170.34,2221.12,2273.35,2327.14,2382.59,2439.20,2496.93,2556.85,2620.45,2688.43,2762.26,2840.84,2919.29,2990.96,3051.58,3098.96,3135.84,3168.84,3207.33,3258.15,3323.35,3401.19,3489.91,3586.32,3687.89,3794.20,3905.53,4020.82,4138.85,4258.47,4379.23,4500.35,4619.95,4735.84,4846.48,4951.19,5050.31,5144.60,5235.34,5323.70,5409.58,5493.25,5576.64,5662.20,5751.68,5846.08,5944.95,6046.63,6148.62,6249.17,6347.56,6444.53,6541.30,6639.76,6741.16,6845.85,6953.03,7061.50,7169.46,7275.56
Paraguay,600,Country/Area,1473.24,1511.85,1550.98,1590.87,1631.71,1673.67,1716.88,1761.45,1807.46,1854.97,1903.99,1954.55,2006.68,2060.34,2115.57,2172.31,2230.73,2290.80,2351.93,2413.40,2474.76,2535.88,2597.15,2659.42,2723.82,2791.24,2861.87,2935.71,3013.28,3095.15,3181.63,3272.92,3368.76,3468.53,3571.28,3676.21,3783.07,3891.73,4001.68,4112.40,4223.41,4334.35,4445.02,4555.52,4666.10,4776.84,4887.64,4998.10,5107.84,5216.35,5323.20,5428.44,5531.96,5632.98,5730.56,5824.10,5913.21,5998.43,6081.30,6163.97,6248.02,6333.98,6421.51,6510.27,6599.52,6688.75,6777.88,6867.06,6956.07,7044.64,7132.53
Bulgaria,100,Country/Area,7251.00,7310.53,7372.02,7434.69,7497.95,7561.49,7625.19,7689.14,7753.61,7819.00,7885.61,7953.47,8022.16,8090.70,8157.83,8222.59,8284.45,8343.49,8400.01,8454.58,8507.54,8559.04,8608.66,8655.71,8699.17,8738.39,8772.56,8801.90,8828.03,8853.21,8878.79,8905.10,8930.71,8953.12,8968.91,8975.35,8972.56,8960.55,8936.65,8897.54,8841.47,8767.00,8676.38,8576.04,8474.82,8379.31,8291.97,8211.80,8137.67,8067.01,7997.95,7930.70,7866.24,7804.31,7744.63,7686.96,7631.02,7576.68,7524.08,7473.51,7425.01,7378.65,7334.01,7290.09,7245.65,7199.74,7151.95,7102.45,7051.61,7000.12,6948.45
Libya,434,Country/Area,1124.52,1142.98,1163.89,1187.74,1214.82,1245.36,1279.40,1316.91,1357.73,1401.63,1448.42,1498.08,1550.82,1607.17,1667.82,1733.31,1803.69,1878.87,1958.91,2043.82,2133.53,2228.14,2327.49,2430.75,2536.90,2645.14,2754.70,2865.64,2979.10,3096.72,3219.46,3347.78,3480.44,3614.68,3746.71,3873.78,3994.60,4109.72,4220.45,4328.94,4436.66,4544.25,4650.90,4755.13,4854.87,4948.80,5036.17,5118.01,5196.77,5275.92,5357.89,5443.25,5531.10,5620.55,5710.16,5798.62,5886.87,5974.79,6058.74,6133.99,6197.67,6247.44,6285.75,6320.35,6362.04,6418.32,6492.16,6580.72,6678.57,6777.45,6871.29
Lebanon,422,Country/Area,1334.62,1358.23,1392.73,1434.85,1481.97,1532.12,1584.04,1637.13,1691.38,1747.17,1804.94,1864.61,1925.30,1985.00,2041.23,2092.37,2136.62,2174.73,2210.77,2250.45,2297.44,2354.05,2417.84,2481.94,2536.77,2575.75,2596.41,2601.73,2597.20,2590.91,2588.93,2594.30,2606.15,2622.07,2638.06,2651.99,2660.87,2667.96,2684.68,2726.44,2803.03,2921.70,3076.13,3246.13,3403.36,3528.38,3610.66,3658.43,3693.51,3747.76,3842.77,3991.00,4182.21,4388.38,4569.38,4698.76,4759.76,4767.35,4764.75,4813.03,4953.06,5202.02,5537.62,5913.02,6261.05,6532.68,6714.28,6819.37,6859.41,6855.71,6825.44
Nicaragua,558,Country/Area,1294.99,1332.05,1372.10,1414.94,1460.35,1508.10,1557.96,1609.65,1662.91,1717.47,1773.13,1829.77,1887.43,1946.24,2006.48,2068.38,2131.97,2197.30,2264.62,2334.29,2406.52,2481.35,2558.71,2638.70,2721.42,2806.86,2894.97,2985.48,3077.86,3171.40,3265.52,3360.14,3455.13,3549.71,3642.98,3734.34,3823.13,3909.67,3995.53,4082.96,4173.44,4267.57,4364.51,4462.50,4559.01,4652.19,4741.57,4827.66,4910.64,4991.04,5069.31,5145.37,5219.32,5292.12,5364.93,5438.69,5513.76,5590.07,5667.44,5745.54,5824.06,5903.04,5982.53,6062.46,6142.73,6223.23,6303.97,6384.84,6465.50,6545.50,6624.55
Kyrgyzstan,417,Country/Area,1740.01,1765.56,1795.14,1828.20,1864.50,1904.07,1947.22,1994.56,2046.91,2105.19,2170.09,2241.76,2319.45,2401.46,2485.43,2569.45,2653.05,2736.07,2817.32,2895.54,2969.86,3039.76,3105.53,3168.29,3229.68,3291.07,3352.62,3414.33,3477.22,3542.51,3610.97,3682.66,3757.17,3834.14,3913.02,3993.08,4075.14,4158.58,4239.28,4311.86,4372.89,4419.63,4454.19,4483.84,4518.81,4566.10,4629.40,4705.65,4786.77,4861.12,4920.71,4962.84,4991.48,5013.54,5039.00,5075.34,5124.38,5184.38,5254.97,5334.71,5422.30,5517.93,5621.58,5731.31,5844.52,5959.13,6074.33,6189.73,6304.03,6415.85,6524.19
El Salvador,222,Country/Area,2199.90,2237.78,2280.44,2327.37,2378.24,2432.88,2491.25,2553.51,2619.90,2690.75,2766.32,2846.60,2931.19,3019.22,3109.57,3201.31,3293.95,3387.38,3481.62,3576.83,3673.07,3770.06,3867.31,3964.27,4060.26,4154.69,4247.51,4338.45,4426.68,4511.13,4591.14,4666.36,4737.26,4804.94,4871.04,4936.80,5002.34,5067.53,5133.27,5200.61,5270.07,5342.19,5416.33,5490.48,5561.92,5628.60,5689.94,5746.29,5797.76,5844.83,5887.93,5927.00,5962.14,5994.08,6023.80,6052.12,6079.40,6105.81,6131.77,6157.68,6183.88,6210.57,6237.92,6266.08,6295.12,6325.12,6356.14,6388.12,6420.74,6453.55,6486.20
Turkmenistan,795,Country/Area,1211.00,1231.83,1258.38,1289.83,1325.43,1364.64,1406.99,1452.18,1500.01,1550.42,1603.25,1658.36,1715.41,1773.85,1833.07,1892.60,1952.14,2011.76,2071.79,2132.80,2195.17,2258.97,2324.02,2390.21,2457.38,2525.37,2594.32,2664.26,2734.90,2805.82,2876.81,2947.78,3019.06,3091.51,3166.22,3244.02,3324.46,3407.31,3493.89,3585.87,3683.98,3789.19,3899.84,4010.79,4115.11,4207.84,4287.34,4355.13,4413.48,4466.13,4516.13,4564.09,4610.02,4655.75,4703.40,4754.65,4810.11,4870.14,4935.77,5007.95,5087.21,5174.08,5267.91,5366.38,5466.32,5565.28,5662.37,5757.67,5850.90,5942.09,6031.19
Singapore,702,Country/Area,1022.10,1067.80,1119.93,1177.58,1239.69,1305.10,1372.52,1440.49,1507.54,1572.17,1633.13,1689.60,1741.46,1789.37,1834.52,1877.83,1919.27,1958.74,1996.87,2034.51,2072.28,2110.96,2150.50,2189.61,2226.38,2259.72,2288.86,2314.99,2341.40,2372.59,2411.69,2460.50,2517.98,2580.92,2644.50,2705.54,2762.44,2816.97,2873.28,2937.28,3012.97,3101.14,3199.64,3305.80,3415.70,3525.96,3638.18,3752.13,3860.72,3954.74,4028.87,4077.15,4104.41,4129.23,4177.20,4265.69,4402.32,4578.63,4775.81,4966.61,5131.17,5263.64,5369.47,5453.73,5525.63,5592.14,5653.63,5708.04,5757.50,5804.34,5850.34
Denmark,208,Country/Area,4268.28,4308.92,4346.19,4380.31,4411.66,4440.78,4468.35,4495.22,4522.34,4550.68,4581.10,4614.03,4649.34,4686.27,4723.62,4760.46,4796.48,4831.75,4866.07,4899.29,4931.24,4961.76,4990.55,5017.25,5041.41,5062.73,5081.26,5097.05,5109.69,5118.71,5123.95,5125.30,5123.35,5119.61,5116.06,5114.25,5114.65,5117.28,5122.44,5130.36,5141.12,5154.91,5171.65,5190.75,5211.33,5232.71,5254.86,5277.71,5300.38,5321.77,5341.19,5358.06,5372.80,5386.97,5402.75,5421.70,5444.29,5469.92,5497.73,5526.39,5554.85,5582.98,5610.91,5638.15,5664.20,5688.70,5711.35,5732.28,5752.13,5771.88,5792.20
Finland,246,Country/Area,4008.29,4050.49,4096.56,4144.31,4191.97,4238.27,4282.38,4323.92,4362.91,4399.67,4434.59,4467.76,4498.82,4526.74,4550.25,4568.60,4581.12,4588.66,4594.02,4601.03,4612.37,4629.37,4651.17,4675.45,4698.78,4718.74,4734.43,4746.93,4758.26,4771.34,4788.25,4809.81,4835.10,4862.17,4888.20,4911.22,4930.34,4946.37,4961.10,4977.12,4996.22,5019.13,5044.93,5071.78,5097.09,5119.01,5136.98,5151.74,5164.24,5175.92,5187.95,5200.48,5213.37,5227.11,5242.18,5258.93,5277.49,5297.74,5319.45,5342.27,5365.78,5390.04,5414.77,5438.98,5461.41,5481.13,5497.71,5511.37,5522.59,5532.16,5540.72
Congo,178,Country/Area,827.25,842.48,858.41,875.11,892.63,911.03,930.38,950.72,972.10,994.60,1018.25,1043.12,1069.24,1096.64,1125.35,1155.39,1186.78,1219.55,1253.76,1289.52,1326.89,1365.89,1406.51,1448.63,1492.06,1536.66,1582.36,1629.22,1677.33,1726.87,1777.93,1830.63,1884.87,1940.45,1996.99,2054.31,2112.36,2171.32,2231.46,2293.16,2356.74,2422.31,2489.95,2559.88,2632.35,2707.53,2785.82,2867.28,2951.65,3038.43,3127.42,3217.93,3310.38,3406.92,3510.47,3622.78,3745.14,3876.12,4011.49,4145.40,4273.74,4394.84,4510.20,4622.76,4736.97,4856.09,4981.00,5110.70,5244.36,5380.50,5518.09
Slovakia,703,Country/Area,3436.58,3510.92,3587.66,3664.91,3741.21,3815.40,3886.74,3954.86,4019.64,4081.31,4140.13,4196.17,4249.21,4298.59,4343.46,4383.45,4418.20,4448.55,4476.83,4506.15,4538.84,4575.56,4615.83,4659.28,4705.10,4752.54,4801.74,4852.49,4903.21,4951.79,4996.73,5037.34,5073.88,5106.98,5137.69,5166.79,5194.30,5219.97,5244.04,5266.81,5288.46,5309.23,5329.03,5347.21,5362.89,5375.47,5384.79,5391.20,5395.25,5397.71,5399.21,5400.00,5400.12,5399.84,5399.37,5398.96,5398.67,5398.69,5399.36,5401.15,5404.29,5408.93,5414.89,5421.72,5428.80,5435.61,5442.00,5447.90,5453.02,5457.01,5459.64
Norway,578,Country/Area,3265.27,3300.75,3334.48,3367.05,3398.91,3430.34,3461.52,3492.45,3523.05,3553.13,3582.51,3611.14,3639.21,3667.11,3695.42,3724.46,3754.35,3784.87,3815.64,3846.18,3876.05,3905.27,3933.73,3960.81,3985.74,4008.03,4027.48,4044.34,4059.19,4072.88,4086.07,4098.97,4111.65,4124.59,4138.27,4153.11,4169.32,4186.97,4205.96,4226.12,4247.29,4269.47,4292.69,4316.79,4341.62,4367.00,4393.22,4420.27,4447.49,4474.01,4499.38,4523.14,4546.02,4570.10,4598.21,4632.36,4672.99,4719.40,4771.01,4826.85,4885.88,4948.34,5013.72,5079.46,5142.27,5199.83,5250.95,5296.32,5337.96,5378.86,5421.24
Oman,512,Country/Area,456.41,462.26,469.35,477.44,486.32,495.83,505.89,516.47,527.59,539.32,551.74,564.89,578.83,593.50,608.89,625.01,642.01,660.12,679.59,700.73,723.84,748.97,776.39,806.99,841.95,882.04,927.43,977.80,1032.80,1091.86,1154.37,1220.58,1290.12,1361.09,1431.07,1498.41,1561.18,1619.87,1678.12,1741.16,1812.16,1893.76,1983.27,2072.11,2148.42,2204.27,2236.65,2249.76,2251.86,2254.90,2267.97,2294.96,2334.86,2386.16,2445.52,2511.25,2580.75,2657.16,2750.96,2876.19,3041.44,3251.10,3498.03,3764.81,4027.26,4267.34,4479.22,4665.93,4829.48,4974.99,5106.62
State of Palestine,275,Country/Area,931.93,923.89,932.07,948.89,968.70,987.75,1004.29,1018.48,1032.10,1048.13,1069.32,1096.75,1128.58,1159.40,1181.89,1191.38,1184.97,1165.75,1142.22,1126.37,1126.63,1146.32,1182.43,1229.37,1278.56,1323.81,1363.62,1400.12,1434.99,1471.14,1510.72,1554.19,1600.96,1650.93,1703.81,1759.53,1817.98,1879.75,1946.38,2019.83,2101.45,2191.00,2287.68,2391.40,2501.97,2618.67,2742.53,2872.01,3000.62,3119.87,3224.01,3309.91,3380.16,3441.87,3505.32,3577.96,3662.42,3756.46,3856.69,3957.68,4055.63,4149.65,4241.57,4333.52,4428.63,4529.16,4635.64,4747.23,4862.98,4981.42,5101.42
Costa Rica,188,Country/Area,945.68,972.15,1002.44,1035.86,1071.88,1110.09,1150.27,1192.36,1236.39,1282.50,1330.79,1381.19,1433.35,1486.56,1539.94,1592.83,1645.08,1696.74,1747.69,1797.89,1847.39,1896.07,1944.17,1992.52,2042.24,2094.19,2148.68,2205.62,2264.94,2326.46,2389.97,2455.59,2523.36,2593.02,2664.22,2736.72,2810.25,2884.86,2960.93,3039.02,3119.44,3202.08,3286.53,3372.30,3458.83,3545.52,3632.36,3718.95,3803.89,3885.43,3962.37,4034.07,4100.92,4164.05,4225.16,4285.50,4345.42,4404.63,4463.12,4520.74,4577.37,4633.09,4688.00,4742.11,4795.39,4847.81,4899.34,4949.96,4999.44,5047.56,5094.11
Liberia,430,Country/Area,930.02,943.66,958.70,975.06,992.65,1011.37,1031.14,1051.83,1073.38,1095.67,1118.66,1142.30,1166.65,1191.80,1217.91,1245.10,1273.46,1303.03,1333.98,1366.50,1400.73,1436.74,1474.57,1514.36,1556.29,1600.45,1645.83,1692.16,1740.92,1794.25,1852.99,1918.83,1989.48,2057.23,2111.67,2145.76,2158.43,2153.31,2134.11,2106.43,2075.92,2040.14,2001.61,1976.70,1986.49,2044.66,2160.48,2326.21,2517.47,2699.71,2848.45,2953.93,3024.73,3077.06,3135.65,3218.11,3329.21,3461.91,3607.86,3754.13,3891.36,4017.45,4135.66,4248.34,4359.51,4472.23,4586.79,4702.22,4818.98,4937.37,5057.68
Ireland,372,Country/Area,2912.68,2912.61,2909.05,2901.31,2889.28,2873.41,2854.78,2835.06,2816.35,2801.09,2791.39,2788.53,2792.38,2801.18,2812.23,2823.64,2834.68,2846.35,2860.73,2880.76,2908.43,2944.09,2986.57,3034.33,3085.16,3137.18,3189.87,3242.77,3294.16,3342.01,3384.76,3422.03,3453.79,3479.46,3498.54,3510.98,3516.42,3515.83,3512.18,3509.51,3510.88,3517.70,3529.85,3546.93,3567.92,3592.18,3619.63,3651.10,3687.82,3731.47,3783.10,3842.25,3908.00,3980.08,4058.13,4141.22,4230.62,4324.65,4415.87,4494.57,4554.33,4591.12,4608.20,4615.43,4626.85,4652.42,4695.79,4753.28,4818.69,4882.50,4937.80
Central African Republic,140,Country/Area,1326.66,1341.72,1356.12,1370.52,1385.45,1401.34,1418.48,1437.06,1457.12,1478.68,1501.67,1526.06,1551.91,1579.38,1608.62,1639.71,1673.02,1708.31,1744.20,1778.87,1811.16,1840.52,1867.79,1894.85,1924.39,1958.37,1997.02,2039.91,2087.66,2140.78,2199.36,2264.44,2335.34,2408.32,2478.38,2542.17,2597.77,2646.84,2693.97,2745.74,2806.74,2878.51,2959.24,3046.15,3135.02,3222.66,3308.24,3392.43,3475.49,3558.02,3640.42,3722.02,3802.13,3881.19,3959.88,4038.38,4118.08,4198.00,4273.37,4337.62,4386.77,4418.64,4436.41,4447.95,4464.17,4493.17,4537.68,4596.02,4666.38,4745.18,4829.76
New Zealand,554,Country/Area,1908.01,1947.93,1992.81,2040.24,2088.49,2136.39,2183.46,2229.83,2276.13,2323.40,2372.60,2424.06,2477.19,2530.19,2580.54,2626.65,2667.09,2702.68,2736.82,2774.36,2818.39,2870.82,2929.69,2989.41,3042.18,3082.62,3108.57,3122.41,3128.96,3135.30,3146.61,3164.82,3188.54,3215.73,3243.03,3268.23,3290.30,3310.75,3332.79,3360.96,3398.18,3446.17,3503.19,3564.47,3623.27,3674.94,3717.35,3752.36,3783.98,3818.13,3858.99,3907.94,3963.20,4022.07,4080.42,4135.35,4185.88,4233.05,4278.16,4323.34,4370.06,4418.67,4468.46,4518.52,4567.52,4614.53,4659.27,4702.03,4743.13,4783.06,4822.23
Mauritania,478,Country/Area,651.43,666.81,683.14,700.49,718.87,738.30,758.75,780.22,802.67,826.07,850.38,875.59,901.69,928.74,956.79,985.91,1016.09,1047.35,1079.58,1112.75,1146.78,1181.66,1217.44,1254.16,1291.86,1330.59,1370.36,1411.14,1453.03,1496.17,1540.64,1586.50,1633.66,1681.86,1730.74,1780.03,1829.68,1879.76,1930.43,1981.90,2034.35,2087.91,2142.65,2198.54,2255.52,2313.63,2372.90,2433.57,2496.22,2561.58,2630.22,2702.41,2778.10,2857.15,2939.25,3024.20,3111.91,3202.51,3296.24,3393.41,3494.20,3598.65,3706.56,3817.50,3930.89,4046.30,4163.53,4282.58,4403.31,4525.70,4649.66
Panama,591,Country/Area,859.66,881.35,904.41,928.75,954.31,981.08,1009.04,1038.18,1068.54,1100.14,1133.01,1167.12,1202.45,1238.89,1276.33,1314.68,1353.85,1393.82,1434.68,1476.48,1519.29,1563.09,1607.80,1653.21,1699.06,1745.14,1791.39,1837.80,1884.43,1931.30,1978.49,2025.97,2073.75,2121.86,2170.33,2219.20,2268.50,2318.26,2368.56,2419.42,2470.95,2523.12,2575.95,2629.58,2684.12,2739.67,2796.29,2853.91,2912.32,2971.20,3030.33,3089.64,3149.20,3209.06,3269.36,3330.22,3391.67,3453.67,3516.20,3579.22,3642.69,3706.48,3770.64,3835.45,3901.31,3968.49,4037.07,4106.76,4176.87,4246.44,4314.77
Kuwait,414,Country/Area,153.10,158.01,162.80,167.99,174.15,181.89,191.89,204.89,221.62,242.80,269.03,300.58,337.35,378.76,423.90,472.03,523.17,577.16,632.91,688.97,744.44,798.64,851.92,905.64,961.77,1021.73,1085.87,1153.57,1224.06,1296.08,1368.68,1439.33,1507.64,1576.98,1652.15,1735.28,1832.30,1938.92,2034.85,2092.79,2095.35,2031.30,1912.43,1772.61,1659.30,1605.91,1626.86,1710.26,1831.12,1951.64,2045.12,2103.27,2136.99,2161.63,2200.50,2270.20,2373.66,2504.03,2656.01,2821.04,2991.88,3168.05,3348.85,3526.38,3690.94,3835.59,3956.86,4056.10,4137.31,4207.08,4270.56
Croatia,191,Country/Area,3850.29,3886.22,3922.67,3959.12,3995.14,4030.42,4064.77,4098.13,4130.49,4161.96,4192.64,4222.50,4251.42,4279.06,4304.99,4328.93,4350.82,4370.86,4389.32,4406.61,4423.07,4438.82,4453.99,4469.03,4484.52,4500.87,4518.10,4536.20,4555.41,4576.03,4598.13,4621.42,4645.40,4669.62,4693.42,4716.12,4737.95,4758.15,4773.68,4780.63,4776.37,4760.00,4732.87,4697.54,4657.80,4616.76,4574.89,4532.41,4491.91,4456.45,4428.08,4408.07,4395.80,4388.91,4383.88,4378.07,4370.78,4362.43,4352.64,4341.26,4328.16,4313.10,4295.87,4276.59,4255.52,4232.87,4208.61,4182.85,4156.41,4130.30,4105.27
Republic of Moldova,498,Country/Area,2341.01,2381.30,2431.89,2490.87,2556.46,2627.01,2700.98,2776.93,2853.57,2929.74,3004.45,3076.89,3146.55,3213.08,3276.43,3336.59,3393.05,3445.84,3496.13,3545.65,3595.55,3646.57,3698.23,3749.01,3796.77,3840.05,3878.10,3911.81,3943.33,3975.72,4011.09,4049.87,4091.13,4133.73,4175.93,4216.24,4254.53,4290.48,4322.34,4347.87,4365.56,4375.05,4376.80,4371.16,4358.79,4340.60,4316.23,4286.48,4254.84,4225.84,4202.66,4187.10,4178.23,4173.28,4167.96,4159.30,4146.26,4130.13,4112.89,4097.52,4086.09,4079.17,4075.80,4074.59,4073.41,4070.71,4066.01,4059.69,4051.95,4043.26,4033.96
Georgia,268,Country/Area,3527.01,3555.88,3588.63,3625.61,3667.08,3713.13,3763.77,3818.86,3878.13,3941.25,4007.72,4077.08,4148.73,4222.16,4296.67,4371.53,4446.84,4521.72,4593.32,4658.01,4713.34,4758.16,4793.56,4822.17,4847.87,4873.64,4900.19,4927.25,4955.52,4985.59,5017.83,5051.12,5085.14,5121.80,5163.64,5211.45,5267.23,5327.50,5380.82,5411.98,5410.40,5373.00,5303.93,5208.95,5097.13,4976.25,4846.63,4709.60,4575.40,4456.65,4362.18,4296.98,4258.57,4238.93,4225.81,4210.16,4189.72,4166.86,4142.65,4119.49,4099.10,4081.01,4064.10,4048.70,4035.31,4024.18,4015.46,4008.72,4002.95,3996.76,3989.18
Eritrea,232,Country/Area,822.35,835.00,849.26,864.89,881.76,899.75,918.85,939.09,960.54,983.34,1007.59,1033.32,1060.49,1088.86,1118.15,1148.19,1178.88,1210.30,1242.63,1276.12,1310.95,1347.18,1384.79,1423.75,1463.99,1505.44,1547.98,1591.62,1636.77,1683.93,1733.42,1784.56,1836.83,1890.56,1946.30,2003.94,2064.80,2127.42,2185.61,2231.14,2258.65,2266.36,2257.59,2238.63,2218.44,2204.23,2196.47,2195.19,2206.44,2237.41,2292.41,2374.72,2481.06,2600.97,2719.81,2826.65,2918.21,2996.54,3062.78,3119.92,3170.44,3213.97,3250.10,3281.45,3311.44,3342.82,3376.56,3412.89,3452.80,3497.12,3546.43
Uruguay,858,Country/Area,2238.50,2261.34,2286.26,2313.21,2342.04,2372.56,2404.49,2437.50,2471.14,2505.01,2538.65,2571.68,2603.88,2635.13,2665.38,2694.54,2722.87,2750.09,2774.76,2795.04,2809.80,2818.28,2821.46,2822.11,2824.10,2830.17,2841.37,2856.96,2875.72,2895.68,2915.39,2934.62,2953.85,2973.05,2992.25,3011.52,3030.65,3049.58,3068.71,3088.60,3109.60,3131.66,3154.46,3177.73,3201.15,3224.28,3247.38,3270.16,3291.05,3308.01,3319.73,3325.47,3326.05,3323.66,3321.49,3321.80,3325.40,3331.75,3340.22,3349.68,3359.27,3368.93,3378.98,3389.44,3400.44,3412.01,3424.14,3436.65,3449.29,3461.73,3473.73
Bosnia and Herzegovina,70,Country/Area,2661.30,2710.65,2764.71,2821.31,2878.84,2936.30,2993.28,3049.93,3106.90,3165.19,3225.66,3288.60,3353.23,3417.57,3479.00,3535.63,3586.63,3632.68,3675.45,3717.48,3760.54,3805.29,3851.15,3897.26,3942.22,3985.11,4025.27,4063.19,4100.36,4138.82,4179.85,4222.48,4265.18,4307.91,4350.57,4392.14,4435.93,4479.52,4509.46,4507.82,4463.42,4369.32,4233.67,4078.94,3936.53,3829.05,3764.42,3736.07,3734.34,3743.35,3751.18,3755.51,3759.39,3762.18,3764.19,3765.33,3765.42,3762.79,3754.26,3735.95,3705.48,3661.17,3604.97,3542.60,3482.11,3429.36,3386.26,3351.53,3323.93,3301.00,3280.82
Mongolia,496,Country/Area,780.20,793.54,807.92,823.07,838.79,855.10,872.16,890.28,909.89,931.49,955.51,982.18,1011.33,1042.39,1074.52,1107.12,1139.96,1173.19,1207.10,1242.21,1278.82,1317.04,1356.67,1397.31,1438.42,1479.65,1520.87,1562.21,1603.91,1646.29,1689.62,1733.48,1777.73,1823.21,1871.09,1921.89,1976.31,2033.35,2089.71,2141.01,2184.14,2217.92,2243.50,2263.20,2280.48,2298.02,2316.57,2335.74,2355.67,2376.23,2397.42,2419.59,2443.26,2468.77,2496.39,2526.43,2558.85,2593.82,2631.90,2673.79,2719.90,2770.36,2824.70,2881.78,2940.11,2998.43,3056.36,3113.79,3170.21,3225.17,3278.29
Armenia,51,Country/Area,1353.50,1381.87,1418.28,1461.43,1510.18,1563.51,1620.59,1680.71,1743.31,1807.91,1874.12,1941.50,2009.52,2077.58,2145.00,2211.32,2276.04,2339.13,2401.14,2462.94,2525.07,2587.72,2650.48,2712.78,2773.75,2832.75,2889.58,2944.38,2997.42,3049.11,3099.76,3148.10,3193.70,3238.59,3285.59,3335.94,3392.26,3451.95,3504.67,3536.47,3538.16,3505.25,3442.82,3363.11,3283.66,3217.35,3168.21,3133.08,3108.69,3089.02,3069.60,3050.69,3033.98,3017.94,3000.72,2981.26,2958.30,2932.62,2907.62,2888.09,2877.31,2876.54,2884.24,2897.59,2912.40,2925.56,2936.15,2944.79,2951.74,2957.73,2963.23
Jamaica,388,Country/Area,1402.90,1437.07,1468.23,1495.94,1520.09,1540.96,1559.15,1575.69,1591.82,1609.02,1628.52,1651.07,1676.50,1703.66,1730.74,1756.51,1780.52,1803.32,1825.87,1849.66,1875.64,1904.28,1935.09,1966.98,1998.31,2028.02,2055.37,2080.82,2105.90,2132.78,2162.84,2196.92,2234.06,2271.74,2306.37,2335.51,2358.17,2375.40,2389.42,2403.46,2419.90,2439.33,2461.05,2484.58,2509.04,2533.71,2558.63,2583.91,2608.87,2632.68,2654.70,2674.71,2692.84,2709.44,2725.02,2740.00,2754.41,2768.23,2781.87,2795.84,2810.46,2825.93,2842.13,2858.71,2875.14,2891.02,2906.24,2920.85,2934.85,2948.28,2961.16
Qatar,634,Country/Area,25.01,27.50,29.87,32.06,34.05,35.86,37.62,39.45,41.54,44.12,47.38,51.43,56.27,61.72,67.56,73.63,79.85,86.30,93.21,100.88,109.52,119.41,130.51,142.18,153.62,164.31,173.72,182.32,191.95,205.17,223.62,247.98,277.23,309.30,341.27,370.89,397.74,422.15,443.61,461.69,476.28,487.35,495.40,501.48,507.04,513.45,522.53,535.32,551.57,570.49,592.47,615.01,640.87,681.79,753.33,865.41,1022.70,1218.44,1436.67,1654.94,1856.33,2035.86,2196.08,2336.58,2459.20,2565.71,2654.38,2724.73,2781.68,2832.07,2881.06
Albania,8,Country/Area,1263.16,1287.50,1316.09,1348.11,1382.90,1419.99,1459.12,1500.18,1543.26,1588.51,1636.09,1685.93,1737.68,1790.57,1843.65,1896.18,1947.84,1998.74,2049.21,2099.74,2150.70,2202.19,2254.06,2306.28,2358.85,2411.73,2464.98,2518.69,2572.85,2627.51,2682.70,2737.02,2790.28,2844.87,2904.14,2969.67,3044.20,3124.89,3200.97,3257.91,3286.07,3280.40,3245.89,3195.20,3146.52,3112.92,3098.70,3099.75,3110.70,3122.70,3129.25,3129.70,3126.18,3118.02,3104.89,3086.81,3063.02,3033.99,3002.68,2973.04,2948.03,2928.60,2914.09,2903.79,2896.31,2890.52,2886.43,2884.17,2882.74,2880.91,2877.80
Puerto Rico,630,Country/Area,2218.01,2193.62,2183.08,2181.92,2186.79,2195.52,2207.05,2221.48,2239.83,2263.83,2294.97,2333.66,2378.38,2425.35,2469.57,2507.54,2537.57,2561.03,2581.39,2603.71,2631.70,2666.17,2705.84,2749.86,2796.66,2844.93,2894.67,2945.85,2996.84,3045.60,3090.69,3131.51,3168.34,3201.86,3233.17,3263.17,3291.75,3318.84,3345.57,3373.37,3403.17,3435.26,3469.07,3503.47,3536.81,3567.69,3596.10,3621.90,3643.67,3659.73,3668.96,3670.31,3664.32,3653.66,3642.01,3631.89,3623.78,3616.34,3608.03,3596.53,3579.84,3559.86,3536.57,3503.87,3453.67,3381.51,3283.12,3163.68,3039.60,2933.40,2860.84
